f0008:

W_Fdic:
the                 : 778     and                 : 281     of                  : 269     resource            : 244     
['1nf', 'NNP']                     : 1       ['manipulation', 'NN']             : 1       ['smart', 'JJ']                    : 1       
['aspect', 'NN']                   : 1       ['sln', 'NNP']                     : 1       ['dependence', 'NNP']              : 1       
['p.xi', 'NNS']                    : 1       ['storing', 'VBG']                 : 1       ['plot', 'NN']                     : 1       
['service', 'VB']                  : 1       ['join', 'NNP']                    : 1       ['fuzzy', 'JJ']                    : 1       
['improved', 'VBN']                : 1       ['satisfying', 'VBG']              : 1       ['citation', 'NN']                 : 1       
['co-naviation', 'NN']             : 1       ['dimensional', 'JJ']              : 1       ['flexibility', 'NN']              : 1       
['authors', 'NNS']                 : 1       ['judge', 'VB']                    : 1       ['construct', 'VB']                : 1       
['referential', 'JJ']              : 1       ['formed', 'VBN']                  : 1       ['co-experience', 'NN']            : 1       
['say', 'VBP']                     : 1       ['average', 'JJ']                  : 1       ['exist', 'VB']                    : 1       
['suite', 'NN']                    : 1       ['200usd', 'CD']                   : 1       ['removing', 'VBG']                : 1       
['capacities', 'NNS']              : 1       ['owl', 'NNP']                     : 1       ['and', 'NNP']                     : 1       
['vice', 'RB']                     : 1       ['tradoff', 'NN']                  : 1       ['system', 'NNP']                  : 1       
['units', 'NNS']                   : 1       ['explains', 'VBZ']                : 1       ['creater', 'NN']                  : 1       
['or', 'NNP']                      : 1       ['split', 'VBN']                   : 1       ['intervals', 'NNS']               : 1       
['facility.room', 'NNP']           : 1       ['deriving', 'VBG']                : 1       ['adaptive', 'JJ']                 : 1       
['area', 'NNP']                    : 1       ['proved', 'VBN']                  : 1       ['coordinating', 'VBG']            : 1       
['28', 'CD']                       : 1       ['photos', 'NNS']                  : 1       ['present', 'JJ']                  : 1       
['takes', 'VBZ']                   : 1       ['34', 'CD']                       : 1       ['training', 'NN']                 : 1       
['selected', 'VBN']                : 1       ['knowing', 'VBG']                 : 1       ['realize', 'VB']                  : 1       
['allows', 'VBZ']                  : 1       ['regulating', 'VBG']              : 1       ['granularities', 'NNS']           : 1       
['vectors', 'NNS']                 : 1       ['selecting', 'VBG']               : 1       ['navigation', 'JJ']               : 1       
['splitting', 'NN']                : 1       ['0.7', 'CD']                      : 1       ['real', 'JJ']                     : 1       
['sources', 'NNS']                 : 1       ['loosing', 'VBG']                 : 1       ['u2', 'CD']                       : 1       
['techniques', 'NNS']              : 1       ['little', 'JJ']                   : 1       ['tools', 'NNS']                   : 1       
['join', 'VB']                     : 1       ['5.2', 'CD']                      : 1       ['abnormal', 'JJ']                 : 1       
['atomic', 'JJ']                   : 1       ['significant', 'JJ']              : 1       ['4-star', 'NNP']                  : 1       
['normal', 'NNP']                  : 1       ['requirements', 'NNS']            : 1       ['vector', 'NN']                   : 1       
['n.', 'NN']                       : 1       ['clearly', 'RB']                  : 1       ['gap', 'NN']                      : 1       
['reach', 'VB']                    : 1       ['uploading', 'JJ']                : 1       ['database', 'VB']                 : 1       
['comprehensive', 'JJ']            : 1       ['non', 'VBP']                     : 1       ['reference', 'NN']                : 1       
['insert', 'NN']                   : 1       ['being', 'VBG']                   : 1       ['emerged', 'JJ']                  : 1       
['extend', 'VB']                   : 1       ['label', 'NN']                    : 1       ['male', 'JJ']                     : 1       
['long', 'JJ']                     : 1       ['views', 'NNS']                   : 1       ['key', 'NNP']                     : 1       
['...', 'NNP']                     : 1       ['0.7', 'NNP']                     : 1       ['need', 'VB']                     : 1       
['he/she', 'NN']                   : 1       ['matching', 'VBG']                : 1       ['thousands', 'NNS']               : 1       
['euclidean', 'JJ']                : 1       ['whereas', 'IN']                  : 1       ['na?ve', 'NNP']                   : 1       
['first-level', 'JJ']              : 1       ['efficiently', 'RB']              : 1       ['form', 'RB']                     : 1       
['subjective', 'JJ']               : 1       ['discover', 'VB']                 : 1       ["'s", 'VBZ']                      : 1       
['spaces', 'VBD']                  : 1       ['coordinates', 'CD']              : 1       ['uses', 'VBZ']                    : 1       
['20', 'CD']                       : 1       ['either', 'CC']                   : 1       ['verified', 'VBN']                : 1       
['etc', 'FW']                      : 1       ['7.2', 'CD']                      : 1       ['algebras', 'NNS']                : 1       
['rules', 'VBZ']                   : 1       ['provides', 'VBZ']                : 1       ['personal', 'JJ']                 : 1       
['inter-coordinate', 'JJ']         : 1       ['selection', 'NN']                : 1       ['-lsb-', 'RB']                    : 1       
['objects', 'NNS']                 : 1       ['recognize', 'VB']                : 1       ['recommending', 'VBG']            : 1       
['normalization', 'NNP']           : 1       ['matching', 'NN']                 : 1       ['sightseeing', 'NN']              : 1       
['initial', 'JJ']                  : 1       ['satisfies', 'VB']                : 1       ['dimensional', 'NN']              : 1       
['weight', 'NN']                   : 1       ['ck', 'NNS']                      : 1       ['misjudgment', 'NNP']             : 1       
['upload', 'VBD']                  : 1       ['reserve', 'VB']                  : 1       ['otherwise', 'RB']                : 1       
['tree', 'JJ']                     : 1       ['deletes', 'VBZ']                 : 1       ['keeping', 'VBG']                 : 1       
['concern', 'NN']                  : 1       ['happens', 'VBZ']                 : 1       ['price', 'NN']                    : 1       
['influence', 'VBP']               : 1       ['complicated', 'VBN']             : 1       ['delete', 'NN']                   : 1       
['comparies', 'VBZ']               : 1       ['mechanism', 'NN']                : 1       ['p1', 'NNP']                      : 1       
['politic', 'JJ']                  : 1       ['notion', 'NN']                   : 1       ['webdata', 'NNP']                 : 1       
['pi', 'NN']                       : 1       ['patterns', 'VB']                 : 1       ['general', 'NN']                  : 1       
['identifying', 'RB']              : 1       ['33', 'CD']                       : 1       ['data', 'NNP']                    : 1       
['markup', 'NNP']                  : 1       ['modification', 'NN']             : 1       ['computed', 'VBN']                : 1       
['bayes', 'NNP']                   : 1       ['design', 'NN']                   : 1       ['n.', 'JJ']                       : 1       
['incites', 'VBZ']                 : 1       ['fall', 'VBP']                    : 1       ['networking', 'NN']               : 1       
['refer', 'VBP']                   : 1       ['dataspace', 'NN']                : 1       ['samples', 'NNS']                 : 1       
['a2', 'NNP']                      : 1       ['found', 'VBN']                   : 1       ['modification', 'NNP']            : 1       
['resource', 'VBD']                : 1       ['composed', 'VBN']                : 1       ['regards', 'VBZ']                 : 1       
['boolean', 'NNP']                 : 1       ['view', 'NN']                     : 1       ['find', 'VBP']                    : 1       
['merge', 'VBP']                   : 1       ['query', 'RB']                    : 1       ['provide', 'VB']                  : 1       
['calculate', 'VB']                : 1       ['exists', 'VBZ']                  : 1       ['31', 'CD']                       : 1       
['split', 'NNP']                   : 1       ['overcome', 'VB']                 : 1       ['merge', 'NNP']                   : 1       
['resolve', 'VB']                  : 1       ['uniformly', 'RB']                : 1       ['thought', 'NN']                  : 1       
['directly', 'RB']                 : 1       ['mentioned', 'VBN']               : 1       ['39', 'CD']                       : 1       
['merge', 'NN']                    : 1       ['images', 'NNS']                  : 1       ['high', 'JJ']                     : 1       
['potential', 'JJ']                : 1       ['up', 'RP']                       : 1       ['cyber-socio', 'JJ']              : 1       
['area', 'NN']                     : 1       ['follows', 'JJ']                  : 1       ['seen', 'VBN']                    : 1       
['occurs', 'VBZ']                  : 1       ['p-rsm', 'VBG']                   : 1       ['orthogonality', 'NN']            : 1       
['up-to-date', 'JJ']               : 1       ['cooccurred', 'VBN']              : 1       ['spec-apart-gen', 'NN']           : 1       
['xn-1', 'RB']                     : 1       ['rule2', 'NNS']                   : 1       ['formulas', 'NNS']                : 1       
['generalizing', 'VBG']            : 1       ['quite', 'RB']                    : 1       ['detect', 'VBP']                  : 1       
['intelligence', 'NN']             : 1       ['behaviours', 'NNS']              : 1       ['attribute-based', 'JJ']          : 1       
['shopping', 'NN']                 : 1       ['ui', 'NNP']                      : 1       ['faceted', 'NNP']                 : 1       
['xml', 'NNP']                     : 1       ['-rsb-', 'RB']                    : 1       ['refine', 'VB']                   : 1       
['increasing', 'NN']               : 1       ['annotated', 'JJ']                : 1       ['zk', 'VB']                       : 1       
['language', 'NNP']                : 1       ['faceted', 'VBN']                 : 1       ['realized', 'VBN']                : 1       
['state', 'NN']                    : 1       ['grade', 'NN']                    : 1       ['document', 'NNP']                : 1       
['indexes', 'NNS']                 : 1       ['schema', 'NNP']                  : 1       ['distinguishes', 'VBZ']           : 1       
['approximately', 'RB']            : 1       ['theoretically', 'NNP']           : 1       ['0.6', 'CD']                      : 1       
['linkage', 'NN']                  : 1       ['essential', 'JJ']                : 1       ['ruling', 'VBG']                  : 1       
['chinese', 'NNP']                 : 1       ['easily', 'RB']                   : 1       ['conflicts', 'NNS']               : 1       
['videos', 'NNS']                  : 1       ['situation', 'NN']                : 1       ['r1', 'VBN']                      : 1       
['living', 'VBG']                  : 1       ['located', 'VBN']                 : 1       ['definite', 'JJ']                 : 1       
['comparing', 'VBG']               : 1       ['split', 'NN']                    : 1       ['manage', 'VBP']                  : 1       
['detect', 'VB']                   : 1       ['tractable', 'JJ']                : 1       ['three-dimensional', 'JJ']        : 1       
['definitions', 'NNS']             : 1       ['incorporate', 'VB']              : 1       ['attempt', 'NN']                  : 1       
['series', 'NN']                   : 1       ['identity', 'NN']                 : 1       ['balance', 'NN']                  : 1       
['specific', 'JJ']                 : 1       ['c.', 'NNP']                      : 1       ['drawers', 'NNS']                 : 1       
['largely', 'RB']                  : 1       ['published', 'VBN']               : 1       ['eight', 'CD']                    : 1       
['interval', 'JJ']                 : 1       ['resides', 'VBZ']                 : 1       ['inequalities', 'NNS']            : 1       
['provinces', 'NNS']               : 1       ['except', 'IN']                   : 1       ['tuples', 'NNS']                  : 1       
['complex', 'NN']                  : 1       ['li', 'NNP']                      : 1       ['traffic', 'NN']                  : 1       
['accompany', 'VB']                : 1       ['subclasses', 'NNS']              : 1       ['computer', 'NNP']                : 1       
['user', 'NNP']                    : 1       ['repeatedly', 'RB']               : 1       ['l2', 'CD']                       : 1       
['holds', 'NNP']                   : 1       ['lacks', 'VBZ']                   : 1       ['interested', 'JJ']               : 1       
['because', 'RB']                  : 1       ['under', 'IN']                    : 1       ['2-star', 'JJ']                   : 1       
['male', 'NNP']                    : 1       ['n.', 'NNP']                      : 1       ['cyber-mental', 'JJ']             : 1       
['4nf', 'CD']                      : 1       ['prob', 'VBZ']                    : 1       ['consists', 'NNP']                : 1       
['enriching', 'VBG']               : 1       ['comments', 'NNS']                : 1       ['easy', 'JJ']                     : 1       
['become', 'VBP']                  : 1       ['30', 'CD']                       : 1       ['n-dimensional', 'JJ']            : 1       
['misjudge', 'VB']                 : 1       ['algorithms', 'NNS']              : 1       ['misplacing', 'VB']               : 1       
['ti', 'NN']                       : 1       ['cultural', 'JJ']                 : 1       ['theorems', 'NNS']                : 1       
['dotted', 'JJ']                   : 1       ['until', 'IN']                    : 1       ['heterogeneous', 'JJ']            : 1       
['swimming', 'NN']                 : 1       ['5.1', 'NNP']                     : 1       ['consider', 'VB']                 : 1       
['enable', 'VB']                   : 1       ['probview', 'NNP']                : 1       ['top-down', 'JJ']                 : 1       
['retaining', 'VBG']               : 1       ['resolving', 'VBG']               : 1       ['functioning', 'VBG']             : 1       
['interval', 'VBZ']                : 1       ['combinatorial', 'NN']            : 1       ['gradually', 'RB']                : 1       
['unlike', 'IN']                   : 1       ['i.e.', 'UH']                     : 1       ['type', 'NNP']                    : 1       
['completeness', 'NNS']            : 1       ['retrieving', 'VBG']              : 1       ['useful', 'JJ']                   : 1       
['generalize', 'VB']               : 1       ['second-level', 'JJ']             : 1       ['specifying', 'VBG']              : 1       
['deluxe', 'JJ']                   : 1       ['rdb', 'NNP']                     : 1       ['checked', 'VBN']                 : 1       
['desirable', 'JJ']                : 1       ['species', 'NNS']                 : 1       ['tracing', 'VBG']                 : 1       
['retrieving', 'JJ']               : 1       ['direct', 'JJ']                   : 1       ['multi-layer', 'NN']              : 1       
['instances', 'NNS']               : 1       ['occur', 'VBP']                   : 1       ['along', 'IN']                    : 1       
['points', 'VBZ']                  : 1       ['generality', 'RB']               : 1       ['link', 'VBP']                    : 1       
['alarm', 'VB']                    : 1       ['pages', 'NNS']                   : 1       ['add', 'VB']                      : 1       
['sets', 'VBZ']                    : 1       ['excellent', 'JJ']                : 1       ['movements', 'NNS']               : 1       
['static', 'JJ']                   : 1       ['very', 'RB']                     : 1       ['before', 'IN']                   : 1       
['appending', 'VBG']               : 1       ['terms', 'NNS']                   : 1       ['instance', 'NN']                 : 1       
['depends', 'VBZ']                 : 1       ['input', 'VBZ']                   : 1       ['p2', 'NNP']                      : 1       
['supposed', 'VBN']                : 1       ['superior', 'JJ']                 : 1       ['41', 'CD']                       : 1       
['studied', 'VBN']                 : 1       ['construction', 'NN']             : 1       ['progress', 'NN']                 : 1       
['existing', 'JJ']                 : 1       ['inter-dependent', 'JJ']          : 1       ['evolve', 'NNS']                  : 1       
['laws', 'NNS']                    : 1       ['mining', 'NNP']                  : 1       ['25', 'CD']                       : 1       
['inputting', 'JJ']                : 1       ['creating', 'VBG']                : 1       ['hotel', 'NNP']                   : 1       
['1-star', 'JJ']                   : 1       ['information', 'NNP']             : 1       ['rs2', 'VBP']                     : 1       
['g1', 'CD']                       : 1       ['onto', 'IN']                     : 1       ['gradully', 'RB']                 : 1       
['true', 'JJ']                     : 1       ['uniform', 'JJ']                  : 1       ['within', 'IN']                   : 1       
['corresponds', 'NNS']             : 1       ['descriptive', 'JJ']              : 1       ['arrows', 'NNS']                  : 1       


W_Pdic:
limited             : ['VBN']                            all                 : ['DT', 'PDT']                      
concept             : ['NN']                             semantic            : ['JJ', 'NNP', 'NN']                
consider            : ['VB']                             chinese             : ['NNP']                            
represent           : ['VB', 'VBP']                      fig.                : ['NNP']                            
caused              : ['VBN']                            excellent           : ['JJ']                             
desirable           : ['JJ']                             splitting           : ['NN']                             
existing            : ['JJ', 'VBG']                      four                : ['CD']                             
manages             : ['VBZ']                            generalize          : ['VB']                             
subclass            : ['NNS']                            during              : ['IN']                             
consists            : ['VBZ', 'NNP']                     query               : ['NN', 'VB', 'JJ', 'RB']           
research            : ['NNP', 'NN']                      integrity           : ['NN']                             
reasoning           : ['NN']                             causes              : ['VBZ']                            
duplicated          : ['JJ', 'NN']                       layers              : ['NNS', 'JJ']                      
increase            : ['NN']                             3-dimensional       : ['JJ']                             
apartment           : ['NNP', 'NN']                      calculate           : ['VB', 'VBD']                      
combinatorial       : ['NN']                             indexed             : ['VBN']                            
graph               : ['NN']                             one-dimensional     : ['JJ']                             
functions           : ['NNS']                            roles               : ['NNS']                            
spec-apart-gen      : ['NN']                             to                  : ['TO']                             
4nf                 : ['CD']                             tk                  : ['RB']                             
multi-facet         : ['JJ']                             ti                  : ['NNP', 'NN']                      
discovering         : ['VBG']                            suite               : ['NN']                             
nodes               : ['NNS']                            include             : ['VBP']                            
resources           : ['NNS', 'NNP']                     inter-dependent     : ['JJ']                             
p2                  : ['NNS', 'CD', 'JJ', 'NNP']         belonging           : ['VBG']                            
self-reasoning      : ['JJ']                             g3                  : ['CD']                             
g2                  : ['CD']                             g1                  : ['CD']                             
orthogonal          : ['JJ']                             far                 : ['RB']                             
dynamic             : ['JJ']                             disjoin             : ['NNP', 'VB']                      
results             : ['NNS']                            uploading           : ['VBG', 'JJ']                      
dataspace           : ['NN', 'NNP']                      every               : ['DT']                             
fall                : ['VBP']                            uncertain           : ['JJ']                             
categories          : ['NNS']                            discovered          : ['VBN']                            
and                 : ['CC', 'NNS', 'NNP']               moderate            : ['JJ']                             
specify             : ['VB', 'NNS']                      co-experience       : ['NN']                             
presented           : ['VBN']                            supports            : ['VBZ']                            
solution            : ['NN']                             t1                  : ['NNP']                            
t.                  : ['NNP']                            item                : ['NN']                             
vector              : ['NN']                             independence        : ['NN']                             
recall              : ['NN', 'VBP']                      unifying            : ['VBG']                            
non-1nf             : ['JJ']                             unsatisfied         : ['VB']                             
upper               : ['JJ', 'RB']                       three-dimensional   : ['JJ']                             
zk                  : ['NNP', 'FW', 'VB']                trend               : ['NN']                             
among               : ['IN']                             discover            : ['VB']                             
cyber               : ['NN']                             second              : ['JJ']                             
design              : ['NN']                             uk                  : ['NNP']                            
insertion           : ['NN']                             projecting          : ['VBG']                            
further             : ['RBR']                            merge               : ['NNP', 'VB', 'JJ', 'NN', 'VBP']   
functioning         : ['VBG']                            china.beijing       : ['NNP']                            
targets             : ['NNS']                            second-level        : ['JJ']                             
linear              : ['JJ']                             even                : ['RB']                             
established         : ['VBN']                            plays               : ['VBZ']                            
wide                : ['NNP']                            giving              : ['VBG']                            
fact                : ['NN']                             section             : ['NN', 'NNP']                      
axes                : ['JJ', 'NNS', 'VBZ', 'NN']         transforms          : ['VBZ']                            
while               : ['IN']                             emotions            : ['NNS']                            
uniform             : ['JJ']                             current             : ['JJ']                             
experiment          : ['NN']                             above               : ['JJ', 'IN']                       
relational          : ['JJ', 'NN', 'NNP']                expressiveness      : ['NNS']                            
increasing          : ['NN']                             method              : ['NN']                             
publications        : ['NNS']                            satisfy             : ['VB']                             
supporting          : ['VBG']                            full                : ['JJ']                             
explosion           : ['NN']                             degree              : ['NN']                             
respectively        : ['RB']                             integrated          : ['VBN']                            
l1                  : ['NNP']                            interdependent      : ['NN']                             
understanding       : ['NN']                             lack                : ['VBP']                            
explore             : ['VB']                             tradoff             : ['NN']                             
operating           : ['VBG']                            cyber-physical      : ['JJ']                             
represented         : ['NN', 'VBN']                      path                : ['NN']                             
along               : ['IN']                             invented            : ['VBN']                            
z1                  : ['NNP', 'NNS', 'VBN']              change              : ['VB', 'NN']                       
violate             : ['VB']                             obtained            : ['VBN']                            
publisher           : ['NN']                             39                  : ['CD']                             
38                  : ['CD']                             deriving            : ['VBG']                            
cts                 : ['NN']                             33                  : ['CD']                             
involved            : ['VBN']                            31                  : ['CD']                             
30                  : ['CD']                             37                  : ['CD']                             
36                  : ['CD']                             35                  : ['CD']                             
34                  : ['CD']                             drawers             : ['NNS']                            
published           : ['VBN', 'NN']                      usually             : ['RB']                             
advantages          : ['NNS', 'JJ']                      implement           : ['VB']                             
specialize          : ['VB']                             makes               : ['VBZ']                            
york                : ['NNP']                            composed            : ['VBN']                            
emerge              : ['VB']                             up-to-date          : ['JJ']                             
decentralized       : ['NNP']                            regardless          : ['RB']                             
projection          : ['NN']                             classification      : ['NN', 'NNP']                      
scales              : ['NNS']                            search              : ['NN', 'NNP', 'VB']                
manage              : ['VB', 'VBP']                      logical             : ['JJ']                             
texts               : ['NNS']                            flexibility         : ['NN']                             
boolean             : ['NNP']                            guests              : ['NNS']                            
total               : ['JJ']                             tools               : ['NNS']                            
sensors             : ['NNS']                            select              : ['VB', 'NNP', 'JJ']                
hotels              : ['NNS']                            are                 : ['VBP']                            
plot                : ['NN']                             use                 : ['VB', 'VBP', 'NN']                
i.e.                : ['FW', 'RB', 'UH']                 from                : ['IN', 'NNP']                      
links               : ['NNS', 'VBZ']                     prove               : ['VB']                             
probabilities       : ['NNS']                            until               : ['IN']                             
contains            : ['VBZ']                            uniformly           : ['RB']                             
two                 : ['CD']                             tightly             : ['JJ']                             
whereas             : ['IN']                             comparing           : ['VBG']                            
program             : ['NN']                             proposes            : ['VBZ']                            
therefore           : ['RB']                             inter-coordinate    : ['JJ']                             
faceted             : ['JJ', 'NNP', 'VBN']               associated          : ['VBN']                            
deletes             : ['VBZ']                            type                : ['NN', 'NNP']                      
granularities       : ['NNS']                            reflects            : ['VBZ']                            
more                : ['RBR', 'JJR']                     separated           : ['JJ', 'VBN']                      
flat                : ['JJ']                             almost              : ['RB']                             
datamining          : ['NNP']                            on                  : ['IN']                             
sql-like            : ['JJ']                             share               : ['VBP']                            
under               : ['IN']                             line                : ['NN']                             
distribution        : ['NN']                             ontology            : ['NN', 'NNP']                      
cooperate           : ['VB', 'VBP']                      introduces          : ['VBZ']                            
carrying            : ['VBG']                            rigid               : ['JJ']                             
web                 : ['NNP', 'NN']                      real-time           : ['NN', 'JJ']                       
cases               : ['NNS']                            sub-coordinate      : ['NN']                             
lifetime            : ['NN']                             topic               : ['NN']                             
keeping             : ['VBG']                            join                : ['NNP', 'VB']                      
room                : ['NN']                             integrating         : ['VBG']                            
this                : ['DT']                             science             : ['NNP', 'NN']                      
challenge           : ['NN']                             work                : ['NN']                             
districts           : ['NNS']                            diverse             : ['JJ']                             
obvious             : ['JJ']                             can                 : ['MD']                             
concepts            : ['NNS']                            following           : ['JJ', 'VBG', 'NN']                
strategies          : ['NNS']                            male                : ['NN', 'JJ', 'NNP']                
root                : ['NN']                             example             : ['NN']                             
proof               : ['NN']                             references          : ['NNP']                            
e.g.                : ['NNP', 'VBG']                     give                : ['VB']                             
process             : ['NN']                             attribute           : ['NN']                             
0.3                 : ['CD']                             0.2                 : ['CD']                             
organized           : ['VBN']                            0.7                 : ['NNP', 'CD']                      
0.6                 : ['CD']                             high                : ['JJ']                             
indicates           : ['VBZ']                            satisfactory        : ['JJ']                             
minimum             : ['JJ']                             refine              : ['VB']                             
spa                 : ['NN']                             standard            : ['NN']                             
feasible            : ['JJ']                             p-rsm               : ['NN', 'NNP', 'RB', 'VBG']         
occur               : ['VBP']                            calculated          : ['VBN']                            
returned            : ['VBN', 'JJ']                      information         : ['NN', 'NNP']                      
5.2                 : ['CD']                             redundancy          : ['NN']                             
requirements        : ['NNS']                            lemma               : ['NN', 'NNS', 'NNP']               
provide             : ['VB']                             versatile           : ['JJ']                             
discussion          : ['NN']                             holds               : ['NNP', 'VBZ']                     
orthogonality       : ['NN']                             species             : ['NNS']                            
regions             : ['NNS']                            how                 : ['WRB']                            
methodology         : ['NN']                             criterion           : ['NN']                             
extensions          : ['NNS']                            ordinary            : ['JJ']                             
axis                : ['NNS', 'JJ', 'VBZ', 'NNP']        explains            : ['VBZ']                            
classify            : ['VB']                             edinburgh           : ['NNP']                            
abstraction         : ['NN']                             ubiquitous          : ['NNP']                            
indian              : ['NNP']                            algebra             : ['NNP']                            
may                 : ['MD']                             max                 : ['NN', 'VBN']                      
prs1                : ['NNP', 'NN']                      after               : ['IN']                             
mapping             : ['VBG']                            reflect             : ['VB', 'VBP']                      
applications        : ['NNS']                            membership          : ['NN']                             
designed            : ['VBN']                            multiplication      : ['NN']                             
such                : ['JJ', 'PDT']                      wave                : ['VB']                             
data                : ['NN', 'NNS', 'NNP']               concerns            : ['VBZ', 'NNS']                     
types               : ['NNS']                            efficiently         : ['RB']                             
prob                : ['NNP', 'VBZ']                     realized            : ['VBN']                            
attempt             : ['NN']                             outline             : ['VB']                             
effective           : ['JJ']                             sets                : ['VBZ', 'NNS']                     
explicit            : ['JJ']                             element             : ['NN']                             
complexity          : ['NNP', 'NN']                      maintain            : ['VB']                             
algorithms          : ['NNS']                            specifying          : ['VBG']                            
fundamental         : ['JJ']                             keeps               : ['VBZ']                            
definitions         : ['NNS']                            operate             : ['VB']                             
words               : ['NNS']                            retrieval           : ['NN']                             
operations          : ['NNS', 'NNP']                     restriction         : ['NN']                             
belong              : ['VBP', 'VB']                      extents             : ['NNS']                            
help                : ['VB']                             hierarchy           : ['NN']                             
developed           : ['VBN']                            areas               : ['NNS']                            
summarized          : ['VBD']                            mainly              : ['RB']                             
satisfied           : ['JJ']                             kong                : ['NNP']                            
2-star              : ['JJ']                             experiments         : ['NNS']                            
through             : ['IN']                             gender              : ['NNP', 'NN']                      
y1                  : ['NNP', 'VB', 'NNS', 'VBN']        existence           : ['NN']                             
satisfies           : ['VBZ', 'NNP', 'VB']               lp                  : ['NN']                             
its                 : ['PRP$']                           before              : ['IN']                             
24                  : ['CD']                             25                  : ['CD']                             
multi-dimensional   : ['JJ']                             27                  : ['CD']                             
20                  : ['CD']                             21                  : ['CD']                             
located             : ['VBN']                            personal            : ['JJ']                             
temporal            : ['JJ']                             28                  : ['CD']                             
29                  : ['CD']                             coordinates         : ['NNP', 'VBZ', 'VBG', 'NN', 'NNS', 'VBN', 'CD']
li                  : ['NNP']                            forms               : ['NNS', 'VBZ']                     
feel                : ['VB']                             detected            : ['VBN']                            
complex             : ['JJ', 'NN']                       fig                 : ['VB', 'NNP']                      
constitutes         : ['VBZ']                            clusters            : ['NNS']                            
main                : ['JJ']                             easier              : ['JJR']                            
overcome            : ['VB']                             split               : ['NNP', 'VB', 'VBN', 'NN']         
then                : ['RB']                             non                 : ['VBP']                            
good                : ['JJ']                             greater             : ['JJR']                            
combination         : ['NN']                             yn                  : ['NNP', 'FW']                      
food                : ['NN']                             analysed            : ['VBN']                            
practice            : ['NNP']                            budapest            : ['NNP']                            
investigated        : ['VBN']                            reflected           : ['VBN']                            
sensortype          : ['NNP']                            framework           : ['NN']                             
hierarchical        : ['JJ']                             effects             : ['NNS']                            
they                : ['PRP']                            communities         : ['NNS']                            
resource            : ['NNP', 'NN', 'RB', 'IN', 'VBD']   realize             : ['VB']                             
nor                 : ['CC']                             lineage             : ['NN']                             
e-applications      : ['NNS']                            several             : ['JJ']                             
semantics           : ['NNS']                            inserted            : ['VBN']                            
xml                 : ['NN', 'JJ', 'NNP']                intelligent         : ['JJ']                             
university          : ['NN']                             classified          : ['VBN']                            
arrows              : ['NNS']                            requires            : ['VBZ']                            
1-star              : ['JJ']                             courses             : ['NNP', 'NNS']                     
theory              : ['NN']                             -lsb-               : ['NN', 'VBG', 'NNP', 'VBZ', 'NNS', 'CD', 'JJ', 'RB', 'VBD']
axis/point          : ['NN']                             fitness             : ['NN']                             
found               : ['VBN']                            higher              : ['JJR']                            
other               : ['JJ']                             constraints         : ['NNS']                            
subset              : ['NN', 'RB']                       domain              : ['NN']                             
storage             : ['NN']                             retrieve            : ['VB', 'VBP']                      
covered             : ['VBN']                            weight              : ['NN']                             
independent         : ['JJ']                             series              : ['NN']                             
energy              : ['NN']                             hard                : ['JJ']                             
abnormal            : ['JJ']                             idea                : ['NN']                             
upload              : ['VB', 'VBD']                      society             : ['NN']                             
1nf                 : ['CD', 'NNP']                      26                  : ['CD']                             
static              : ['JJ']                             vectors             : ['NNS']                            
our                 : ['PRP$']                           operation           : ['NN']                             
avoided             : ['VBN']                            event               : ['NN']                             
special             : ['JJ']                             out                 : ['RP']                             
category            : ['NN']                             living              : ['VBG']                            
shown               : ['VBN']                            network             : ['NN']                             
hawaii              : ['NNP']                            entertainment       : ['NN']                             
open                : ['JJ']                             since               : ['IN']                             
detailed            : ['JJ']                             denotes             : ['VBZ']                            
content             : ['NN']                             transforming        : ['VBG']                            
behaviours          : ['NNS']                            adapt               : ['VB']                             
emerged             : ['JJ']                             prs2                : ['NNP']                            
denoted             : ['VBN', 'RB']                      formula             : ['NN']                             
adaptive            : ['JJ']                             sightseeing         : ['NN']                             
issue               : ['NN']                             occurs              : ['VBZ']                            
managed             : ['VBN']                            shows               : ['VBZ', 'NNS']                     
model               : ['NN', 'NNP']                      cyber-mental        : ['JJ']                             
