f0003:

W_Fdic:
the                 : 1381    and                 : 886     of                  : 530     space               : 482     
['33', 'CD']                       : 1       ['stability', 'NN']                : 1       ['further', 'JJ']                  : 1       
['pain', 'VBG']                    : 1       ['closure', 'NN']                  : 1       ['interchangeable', 'JJ']          : 1       
['huge', 'JJ']                     : 1       ['co-exist', 'VB']                 : 1       ['...', ':']                       : 1       
['introducing', 'VBG']             : 1       ['co-wave', 'VBP']                 : 1       ['fraction', 'NN']                 : 1       
['reviews', 'VBZ']                 : 1       ['language-games', 'NNS']          : 1       ['indicated', 'VBD']               : 1       
['reasoning', 'VBD']               : 1       ['pressure', 'NN']                 : 1       ['means', 'NN']                    : 1       
['indirect', 'RB']                 : 1       ['emerge', 'CD']                   : 1       ['cross', 'NN']                    : 1       
['flying', 'VBG']                  : 1       ['real-time', 'NNP']               : 1       ['micronemes', 'VBZ']              : 1       
['reflecting', 'VBZ']              : 1       ['eco-grid', 'JJ']                 : 1       ['backgrounds', 'NNS']             : 1       
['human', 'VBN']                   : 1       ['instruct', 'VB']                 : 1       ['symbiosis', 'JJ']                : 1       
['rebuilding', 'VBG']              : 1       ['overload', 'NN']                 : 1       ['manufacturing', 'VBG']           : 1       
['react', 'VBP']                   : 1       ['directory', 'NNP']               : 1       ['man', 'NN']                      : 1       
['assignments', 'NNS']             : 1       ['exists', 'VBZ']                  : 1       ['31', 'CD']                       : 1       
['automated', 'VBN']               : 1       ['challenging', 'VBG']             : 1       ['cooker', 'NN']                   : 1       
['insightful', 'JJ']               : 1       ['closed', 'VBD']                  : 1       ['happy', 'VBG']                   : 1       
['reasoning', 'VBZ']               : 1       ['recommended', 'VBN']             : 1       ['routed', 'VBN']                  : 1       
['contest', 'NN']                  : 1       ['instructions', 'NNS']            : 1       ['thought', 'NN']                  : 1       
['co-experiencing', 'NNP']         : 1       ['practice', 'NNP']                : 1       ['576', 'CD']                      : 1       
['vehicles', 'NNPS']               : 1       ['60', 'CD']                       : 1       ['physically', 'RB']               : 1       
['old', 'JJ']                      : 1       ['opinions', 'NNS']                : 1       ['39', 'CD']                       : 1       
['artifacts', 'VBG']               : 1       ['number', 'NNP']                  : 1       ['cref', 'VBG']                    : 1       
['reasons', 'VBZ']                 : 1       ['heavy', 'JJ']                    : 1       ['up', 'RP']                       : 1       
['cyber-socio', 'JJ']              : 1       ['coincidently', 'RB']             : 1       ['mirror', 'NN']                   : 1       
['rise', 'NN']                     : 1       ['on', 'NNP']                      : 1       ['phrases', 'NNS']                 : 1       
['efficiently', 'VB']              : 1       ['browsing', 'NN']                 : 1       ['programmer', 'NN']               : 1       
['www.wikipedia.org', 'JJ']        : 1       ['got', 'VBN']                     : 1       ['net', 'JJ']                      : 1       
['systems', 'NNPS']                : 1       ['23', 'CD']                       : 1       ['users', 'NNP']                   : 1       
['enhanced', 'VBN']                : 1       ['refines', 'VBZ']                 : 1       ['justice', 'NN']                  : 1       
['restricting', 'VBG']             : 1       ['operates', 'VBZ']                : 1       ['farming', 'NN']                  : 1       
['constructionism', 'NNP']         : 1       ['odp', 'NNP']                     : 1       ['neurons', 'NNS']                 : 1       
['developer', 'NN']                : 1       ['cost', 'NN']                     : 1       ['links', 'NN']                    : 1       
['interact', 'VBN']                : 1       ['questioning', 'NN']              : 1       ['neurological', 'JJ']             : 1       
['uncertain', 'JJ']                : 1       ['flexibly', 'RB']                 : 1       ['visualized', 'VBN']              : 1       
['ancient', 'JJ']                  : 1       ['mcp', 'NNS']                     : 1       ['nearest', 'JJS']                 : 1       
['exploration', 'NNP']             : 1       ['cyber-physical', 'NNP']          : 1       ['behaviours', 'NNS']              : 1       
['maintenance', 'NN']              : 1       ['supersede', 'JJ']                : 1       ['medical', 'JJ']                  : 1       
['simulate', 'VB']                 : 1       ['processes', 'VBZ']               : 1       ['gather', 'VB']                   : 1       
['e-learning', 'JJ']               : 1       ['asking', 'VBG']                  : 1       ['brain', 'NNP']                   : 1       
['machine-understandable', 'JJ']   : 1       ['shadow', 'NN']                   : 1       ['inspire', 'VB']                  : 1       
['regulated', 'VBN']               : 1       ['composing', 'VBD']               : 1       ['zooming-in', 'JJ']               : 1       
['offers', 'VBZ']                  : 1       ['through', 'RP']                  : 1       ['everything', 'NN']               : 1       
['moreover', 'RB']                 : 1       ['belong', 'VB']                   : 1       ['language', 'NNP']                : 1       
['hyperlink', 'VBZ']               : 1       ['naturally', 'RB']                : 1       ['pronome', 'NN']                  : 1       
['isb', 'NNP']                     : 1       ['t.', 'NN']                       : 1       ['teaching', 'NN']                 : 1       
['autopilot', 'VB']                : 1       ['stimulus-response', 'JJ']        : 1       ['undetermined', 'JJ']             : 1       
['on-demand', 'NN']                : 1       ['seeking', 'VBG']                 : 1       ['fuel', 'NN']                     : 1       
['ep', 'NN']                       : 1       ['v1', 'NNS']                      : 1       ['organisms', 'NNS']               : 1       
['act', 'VB']                      : 1       ['k-line', 'JJ']                   : 1       ['influenced', 'VBN']              : 1       
['interactions', 'RB']             : 1       ['ring', 'NN']                     : 1       ['cp3sme', 'VBZ']                  : 1       
['living', 'JJ']                   : 1       ['logic-based', 'JJ']              : 1       ['accelerates', 'VBZ']             : 1       
['expertise', 'NN']                : 1       ['direct', 'NNP']                  : 1       ['tasty', 'JJ']                    : 1       
['item', 'NN']                     : 1       ['distribution', 'NN']             : 1       ['18', 'CD']                       : 1       
['65', 'CD']                       : 1       ['less', 'JJR']                    : 1       ['tend', 'VBP']                    : 1       
['internet', 'NN']                 : 1       ['externalize', 'VB']              : 1       ['mac', 'NNS']                     : 1       
['competing', 'VBG']               : 1       ['obviously', 'RB']                : 1       ['water', 'NN']                    : 1       
['raised', 'VBD']                  : 1       ['emotion', 'NN']                  : 1       ['living', 'VBG']                  : 1       
['navigating', 'VBG']              : 1       ['analogizing', 'VBD']             : 1       ['located', 'VBN']                 : 1       
['know', 'VBP']                    : 1       ['anything', 'NN']                 : 1       ['taste', 'NN']                    : 1       
['ecosystem', 'NN']                : 1       ['electricity', 'NN']              : 1       ['detect', 'VB']                   : 1       
['performing', 'VBG']              : 1       ['engineering', 'VB']              : 1       ['symbiosis', 'NNS']               : 1       
['workflow', 'NN']                 : 1       ['latent', 'NNP']                  : 1       ['self-adaptive', 'JJ']            : 1       
['design', 'NNP']                  : 1       ['53', 'CD']                       : 1       ['paths', 'NNS']                   : 1       
['globality', 'RB']                : 1       ['series', 'NN']                   : 1       ['preserve', 'VB']                 : 1       
['thought', 'VBD']                 : 1       ['59', 'CD']                       : 1       ['balance', 'NN']                  : 1       
['regulation', 'NN']               : 1       ['human-centered', 'JJ']           : 1       ['close', 'RB']                    : 1       
['einstein', 'NNP']                : 1       ['linking', 'VB']                  : 1       ['labels', 'NNS']                  : 1       
['40', 'CD']                       : 1       ['evidences', 'NNS']               : 1       ['guided', 'JJ']                   : 1       
['classified', 'VBD']              : 1       ['optimized', 'JJ']                : 1       ['big', 'JJ']                      : 1       
['mccarthy', 'NNP']                : 1       ['probabilistic', 'JJ']            : 1       ['he/she', 'VBP']                  : 1       
['distinguish', 'VB']              : 1       ['participate', 'VB']              : 1       ['framework', 'NNP']               : 1       
['derive', 'VBP']                  : 1       ['zooming', 'NN']                  : 1       ['ability', 'VB']                  : 1       
['style', 'NN']                    : 1       ['h-lam/t', 'NN']                  : 1       ['indicator', 'NN']                : 1       
['empiricists', 'NNS']             : 1       ['enable', 'VBP']                  : 1       ['promote', 'VB']                  : 1       
['speed', 'NN']                    : 1       ['tries', 'VBZ']                   : 1       ['artist', 'NN']                   : 1       
['olderthan', 'NN']                : 1       ['469', 'NNP']                     : 1       ['non-material', 'JJ']             : 1       
['life-time', 'NN']                : 1       ['complex', 'NN']                  : 1       ['mapped', 'VBN']                  : 1       
['general-purpose', 'JJ']          : 1       ['ep', 'VB']                       : 1       ['unveil', 'VB']                   : 1       
['subclasses', 'NNS']              : 1       ['position', 'NN']                 : 1       ['nelson', 'NNP']                  : 1       
['capture', 'VB']                  : 1       ['predictable', 'JJ']              : 1       ['co-evolve', 'VBP']               : 1       
['relatives', 'NNS']               : 1       ['thales', 'NNP']                  : 1       ['i.e.', 'FW']                     : 1       
['traffic', 'NNP']                 : 1       ['reproduce', 'VB']                : 1       ['respected', 'VBD']               : 1       
['interested', 'JJ']               : 1       ['safer', 'JJR']                   : 1       ['profiles', 'NNS']                : 1       
['unfriendly', 'JJ']               : 1       ['produce', 'VB']                  : 1       ['classic', 'JJ']                  : 1       
['meets', 'VBZ']                   : 1       ['derives', 'VBZ']                 : 1       ['adjust', 'VB']                   : 1       
['cyber-mental', 'JJ']             : 1       ['immigrating', 'VBG']             : 1       ['collaborating', 'VBG']           : 1       
['tables', 'NNS']                  : 1       ['74', 'NNP']                      : 1       ['subclass', 'NNS']                : 1       
['history', 'NN']                  : 1       ['rendering', 'NN']                : 1       ['massively', 'CD']                : 1       
['functions', 'NNP']               : 1       ['sold', 'VBN']                    : 1       ['views', 'NNS']                   : 1       
['analogy', 'NN']                  : 1       ['30', 'CD']                       : 1       ['dellink', 'NNP']                 : 1       
['satisfied', 'VBN']               : 1       ['greatly', 'RB']                  : 1       ['need', 'NN']                     : 1       
['numerous', 'JJ']                 : 1       ['bases', 'NNS']                   : 1       ['unless', 'IN']                   : 1       
['similarity', 'NN']               : 1       ['appropriately', 'RB']            : 1       ['store', 'VB']                    : 1       
['dotted', 'JJ']                   : 1       ['green', 'VBZ']                   : 1       ['optimal', 'JJ']                  : 1       
['every', 'DT']                    : 1       ['generalizing', 'VBZ']            : 1       ['operation', 'JJ']                : 1       
['light', 'JJ']                    : 1       ['web/internet', 'JJ']             : 1       ['harmoniously', 'NN']             : 1       
['organ', 'NN']                    : 1       ['previously', 'RB']               : 1       ['decision', 'NN']                 : 1       
['localized', 'JJ']                : 1       ['regard', 'VBP']                  : 1       ['harder', 'JJR']                  : 1       
['missing', 'VBG']                 : 1       ['observed', 'JJ']                 : 1       ['influential', 'JJ']              : 1       
['inserting', 'VBG']               : 1       ['91', 'CD']                       : 1       ['distinguishes', 'VBZ']           : 1       
['filters', 'NNS']                 : 1       ['obvious', 'JJ']                  : 1       ['engineers', 'NNS']               : 1       
['propositions', 'NNS']            : 1       ['grid', 'NNP']                    : 1       ['summarization', 'NN']            : 1       
['range', 'NN']                    : 1       ['correspondingly', 'RB']          : 1       ['cyber', 'VBP']                   : 1       
['center', 'NN']                   : 1       ['leave', 'VB']                    : 1       ['54', 'CD']                       : 1       
['morality', 'NN']                 : 1       ['recording', 'VBG']               : 1       ['queries', 'NNS']                 : 1       
['minimization', 'NNS']            : 1       ['compressed', 'VBN']              : 1       ['specifying', 'VBG']              : 1       
['modeled', 'VBD']                 : 1       ['observe', 'VBP']                 : 1       ['verify', 'VB']                   : 1       
['relieve', 'VB']                  : 1       ['externalization', 'VBN']         : 1       ['increased', 'VBN']               : 1       
['predefined', 'JJ']               : 1       ['knowledge-based', 'JJ']          : 1       ['supported', 'VBD']               : 1       
['fusion', 'NN']                   : 1       ['criterion', 'NN']                : 1       ['tracing', 'VBG']                 : 1       
['multi-agent', 'JJ']              : 1       ['p2p', 'NN']                      : 1       ['components', 'NNS']              : 1       
['relate', 'VBP']                  : 1       ['attribute', 'NN']                : 1       ['displaying', 'VBG']              : 1       
['occur', 'VBP']                   : 1       ['semantically', 'JJ']             : 1       ['66', 'CD']                       : 1       
['grounded', 'VBN']                : 1       ['compose', 'VB']                  : 1       ['tm', 'NN']                       : 1       
['479', 'NNP']                     : 1       ['business', 'NN']                 : 1       ['relationship', 'NN']             : 1       
['locally', 'RB']                  : 1       ['heterogeneity', 'RB']            : 1       ['precaution', 'NN']               : 1       
['static', 'JJ']                   : 1       ['very', 'RB']                     : 1       ['phones', 'NNS']                  : 1       
['rationally', 'RB']               : 1       ['truth', 'NN']                    : 1       ['edges', 'NNS']                   : 1       
['probabilities', 'NNS']           : 1       ['correct', 'JJ']                  : 1       ['terms', 'NNS']                   : 1       
['respectively', 'RB']             : 1       ['am', 'VBP']                      : 1       ['recognition', 'NNP']             : 1       
['intercultural', 'VBZ']           : 1       ['differences', 'VB']              : 1       ['primitive', 'JJ']                : 1       
['partial', 'JJ']                  : 1       ['on', 'RP']                       : 1       ['why', 'VBZ']                     : 1       
['41', 'CD']                       : 1       ['helpful', 'JJ']                  : 1       ['description', 'NNP']             : 1       
['grouping', 'VBG']                : 1       ['progress', 'NN']                 : 1       ['lsa', 'NNP']                     : 1       
['existing', 'JJ']                 : 1       ['candidate', 'NN']                : 1       ['mcs', 'NNP']                     : 1       
['on-line', 'JJ']                  : 1       ['sincerity', 'NN']                : 1       ['patients', 'NNS']                : 1       
['being', 'NN']                    : 1       ['training', 'VBG']                : 1       ['maximum', 'JJ']                  : 1       
['ground', 'NN']                   : 1       ['near', 'JJ']                     : 1       ['mining', 'NNP']                  : 1       
['close', 'JJ']                    : 1       ['delivering', 'JJ']               : 1       ['semantics', 'VB']                : 1       
['content', 'NN']                  : 1       ['name', 'NN']                     : 1       ['lot', 'NN']                      : 1       
['cultures', 'NNS']                : 1       ['focuses', 'VBZ']                 : 1       ['+1', 'CD']                       : 1       
['reflexive', 'VBZ']               : 1       ['slns', 'NNPS']                   : 1       ['yellow', 'JJ']                   : 1       
['demonstrated', 'VBN']            : 1       ['tn', 'NN']                       : 1       ['true', 'JJ']                     : 1       
['human-centered', 'VBZ']          : 1       ['load', 'NN']                     : 1       ['known', 'VBN']                   : 1       
['simplest', 'JJS']                : 1       ['denote', 'NN']                   : 1       ['relations', 'NNP']               : 1       
['tired', 'VBN']                   : 1       ['puts', 'VBZ']                    : 1       ['building', 'NN']                 : 1       


W_Pdic:
limited             : ['VBN', 'JJ']                      similarity          : ['NNP', 'VBZ', 'NN']               
fig.                : ['NNP', 'CD', 'VBN']               dynamic             : ['JJ']                             
yellow              : ['JJ']                             four                : ['CD']                             
facilities          : ['NNS']                            sleep               : ['VB']                             
consists            : ['VBZ']                            semantic            : ['JJ', 'NNP', 'NN', 'VBZ']         
localized           : ['JJ']                             feeding             : ['NN']                             
physiological       : ['JJ', 'NN']                       under               : ['IN']                             
teaching            : ['NN']                             ontological         : ['JJ']                             
worth               : ['JJ']                             collaborate         : ['VB']                             
navigating          : ['VBG', 'NNP']                     incurs              : ['VBZ']                            
rise                : ['NN']                             connects            : ['VBZ']                            
every               : ['DT']                             human-machine       : ['JJ']                             
classifications     : ['NNS']                            bringing            : ['VBG']                            
vast                : ['JJ']                             differentiated      : ['VBN']                            
crops               : ['NNS']                            graph-based         : ['JJ']                             
vector              : ['NNP']                            enhance             : ['VB']                             
unifying            : ['VBG']                            locked-in           : ['JJ']                             
enjoy               : ['VB']                             force               : ['NN']                             
disciplines         : ['NNS']                            tired               : ['VBN']                            
phones              : ['NNS']                            direct              : ['JJ', 'NNP']                      
feasibility         : ['NN']                             second              : ['JJ']                             
49                  : ['CD']                             implemented         : ['VBN']                            
expressions         : ['NNS']                            machines            : ['NNPS', 'NNS']                    
cooperatively       : ['RB']                             even                : ['RB']                             
established         : ['VBN']                            organisms           : ['NNS']                            
euclidean           : ['NNP', 'JJ']                      zoom-out            : ['JJ', 'NN']                       
cooking             : ['JJ']                             near                : ['JJ']                             
reasoning           : ['VBZ', 'NN', 'VBG', 'VBD']        above               : ['IN', 'JJ']                       
designing           : ['VBG']                            new                 : ['JJ', 'NNP']                      
net                 : ['NN', 'NNP', 'JJ']                consisting          : ['VBG']                            
metadata            : ['NN']                             evolving            : ['JJ', 'VBG', 'VBZ']               
simultaneously      : ['RB']                             notions             : ['NNS']                            
sunspot             : ['NN']                             47                  : ['CD']                             
pursuit             : ['NN']                             represented         : ['VBN']                            
path                : ['NN']                             interpret           : ['VB']                             
addnode             : ['NNP']                            study               : ['NN']                             
changed             : ['VBN']                            approaches          : ['NNS', 'VBZ']                     
electricity         : ['NN']                             browsing            : ['VBG', 'NN']                      
suitable            : ['JJ']                             changes             : ['NNS', 'VBZ']                     
mutual              : ['JJ']                             criticism           : ['NN']                             
appropriately       : ['RB']                             classification      : ['NN', 'NNP']                      
explained           : ['VBN', 'VBD']                     psychological       : ['JJ']                             
total               : ['JJ']                             unit                : ['NN']                             
would               : ['MD']                             browse              : ['VB', 'NN']                       
motivate            : ['VBP']                            negative            : ['JJ']                             
program             : ['NN']                             therefore           : ['RB']                             
recommend           : ['VB']                             rationalism         : ['NNP']                            
type                : ['NN']                             tell                : ['VB']                             
separated           : ['VBN']                            textnet             : ['NNP']                            
multi-channel       : ['JJ']                             aware               : ['JJ']                             
equipments          : ['NNS']                            correspondingly     : ['RB']                             
real-time           : ['JJ', 'VB', 'NNP']                91                  : ['CD']                             
90                  : ['CD']                             92                  : ['CD']                             
heterogeneity       : ['RB']                             ma                  : ['NNP']                            
1999                : ['CD']                             thales              : ['NNP', 'NNS']                     
work                : ['VB', 'NN', 'VBP']                neurons             : ['NNS']                            
concepts            : ['NNS']                            example             : ['NN']                             
rationalists        : ['NNS']                            indicated           : ['VBN', 'VBD']                     
give                : ['VB']                             preserving          : ['VBG']                            
organized           : ['VBN']                            involve             : ['VB', 'VBP']                      
indicates           : ['VBZ']                            want                : ['VB']                             
organizes           : ['VBZ']                            attract             : ['VB']                             
worldview           : ['NN']                             provide             : ['VB', 'VBP']                      
verify              : ['VB']                             machine             : ['NN']                             
how                 : ['WRB']                            methodology         : ['NN', 'NNP', 'VB']                
answer              : ['VB', 'NN']                       classify            : ['VB']                             
classifying         : ['VBG']                            abstraction         : ['NN']                             
description         : ['NNP', 'NN']                      replacing           : ['VBG']                            
typed               : ['JJ']                             m?a                 : ['NN']                             
after               : ['IN']                             minimized           : ['JJ']                             
summarize           : ['VB']                             meaningful          : ['JJ']                             
types               : ['NNS']                            collecting          : ['VBG']                            
sparql              : ['NNP']                            effective           : ['JJ']                             
life                : ['NN', 'NNP']                      maintain            : ['VB']                             
algorithms          : ['NNS', 'VBZ']                     ultimate            : ['JJ']                             
keeps               : ['VBZ']                            operate             : ['VB']                             
order               : ['NN']                             operations          : ['NNS', 'RB']                      
restriction         : ['NN']                             interpretation      : ['NN']                             
feedback            : ['NN']                             over                : ['IN']                             
satisfied           : ['VBN', 'JJ']                      executes            : ['VBZ']                            
nets                : ['VBZ']                            personal            : ['JJ']                             
cause-effect        : ['NN']                             writing             : ['VBG', 'NNP', 'NN']               
better              : ['RBR']                            production          : ['NN']                             
fig                 : ['VB', 'NNP']                      cref                : ['VBG']                            
then                : ['RB']                             laozi               : ['NNP']                            
enrich              : ['NNP', 'VBP']                     grand               : ['JJ']                             
break               : ['VB']                             effects             : ['NNS']                            
they                : ['PRP']                            structural          : ['JJ']                             
pervasive           : ['VBP', 'JJ']                      represents          : ['VBZ']                            
one-to-one          : ['JJ']                             grammar             : ['NN']                             
classified          : ['VBN', 'VBD']                     backgrounds         : ['NNS']                            
reasonable          : ['JJ']                             each                : ['DT']                             
evolve              : ['VB']                             series              : ['NN']                             
principles          : ['NNS']                            399                 : ['NNP']                            
extract             : ['VB']                             ring                : ['NN']                             
brings              : ['VBZ']                            large               : ['JJ']                             
reused              : ['VBN']                            network             : ['NN', 'NNP']                      
restricted          : ['JJ']                             mccarthy            : ['NNP']                            
content             : ['JJ', 'NN']                       adapt               : ['VB']                             
got                 : ['VBN']                            scopes              : ['NNS']                            
perception          : ['NN']                             associate           : ['JJ']                             
little              : ['JJ', 'RB']                       free                : ['JJ']                             
formation           : ['NN']                             cross-referenced    : ['NNP']                            
sensors             : ['NNS']                            created             : ['VBD', 'VBN']                     
starts              : ['NNS']                            correctness         : ['NNS', 'NN']                      
creates             : ['VBZ']                            +1                  : ['CD']                             
isb                 : ['NNP']                            organize            : ['VB']                             
features            : ['NNS']                            render              : ['VB']                             
rank                : ['NN']                             restrict            : ['VB']                             
instruct            : ['VB', 'VBP']                      adopted             : ['VBD', 'VBN']                     
another             : ['DT']                             service             : ['NN']                             
abstracted          : ['VBN']                            fiction             : ['NN']                             
needed              : ['VBN']                            too                 : ['RB']                             
corpus              : ['NN']                             john                : ['NNP']                            
insightful          : ['JJ']                             enhancing           : ['VBG']                            
serve               : ['VBP']                            incur               : ['VB']                             
cyber-socio         : ['JJ']                             expanding           : ['VBG']                            
distance            : ['NN']                             roles               : ['NNS', 'CD']                      
tree                : ['NN']                             project             : ['NN', 'NNP']                      
classes             : ['NNS']                            historical          : ['JJ']                             
magnetic-resonance  : ['JJ']                             bridge              : ['NN']                             
sees                : ['VBZ']                            abstracting         : ['VBG']                            
exploring           : ['VBG', 'VB']                      respecting          : ['VBG']                            
navigate            : ['VB']                             modern              : ['JJ', 'NNP']                      
mind                : ['NN', 'NNP']                      raw                 : ['JJ']                             
socio               : ['NN', 'JJ', 'NNP']                manner              : ['NN']                             
addlink             : ['NNP']                            overlays            : ['NNS']                            
contents            : ['NNS']                            relatively          : ['RB']                             
1968                : ['CD']                             responsible         : ['JJ']                             
isolated            : ['JJ', 'VBN']                      1963                : ['CD']                             
recommended         : ['VBN']                            transmit            : ['VB', 'VBZ']                      
effectiveness       : ['NN']                             object              : ['NN']                             
extending           : ['VBG', 'VB']                      optimized           : ['JJ']                             
assessed            : ['VBN']                            cyber-physical-physiological-psychological-socio-mental: ['NNP']                            
morality            : ['NN']                             peers               : ['NNS']                            
episode             : ['NN']                             professor           : ['NN']                             
flow                : ['NN', 'VBP']                      points              : ['NNS']                            
principle           : ['NN']                             notion              : ['NN']                             
meaning             : ['NN']                             inspire             : ['VB']                             
opinions            : ['NNS']                            labels              : ['NNS']                            
colors              : ['NNS']                            participate         : ['VB']                             
subtle              : ['JJ']                             make                : ['VB']                             
latent              : ['NNP']                            just                : ['RB']                             
addrule             : ['NNP']                            situations          : ['NNS']                            
explain             : ['VB']                             bush                : ['NNP']                            
k-line              : ['JJ', 'NN']                       summarizing         : ['VBG']                            
rich                : ['JJ']                             pursuing            : ['VBG']                            
integrate           : ['VB']                             borrowed            : ['VBN']                            
do                  : ['VBP']                            establishes         : ['VBZ']                            
wide                : ['NNP']                            plato               : ['NNP']                            
supplies            : ['NNS']                            seemly              : ['RB']                             
textbooks           : ['NNS']                            method              : ['NN']                             
architecture        : ['NNP', 'NN']                      implication         : ['NN']                             
automatic           : ['JJ']                             delrule             : ['NNP']                            
reference           : ['NN']                             sameage             : ['JJ']                             
detection           : ['NN']                             cyber-physical-socio: ['JJ', 'NNP', 'VB']                
depends             : ['VBZ']                            result              : ['NN']                             
incorporating       : ['VBG']                            techniques          : ['NNS']                            
capacity            : ['NN']                             wikipedia           : ['NNP']                            
artificial          : ['JJ']                             continually         : ['RB']                             
cooperation         : ['NNP', 'NN']                      simplest            : ['JJS']                            
conceptual          : ['JJ']                             drawn               : ['VBN']                            
approach            : ['NN']                             discovery           : ['NN']                             
preserve            : ['VB']                             oomd                : ['NNP']                            
we                  : ['PRP']                            terms               : ['NNS']                            
extend              : ['VB', 'VBP']                      nature              : ['NN']                             
he/she              : ['NN', 'VBP']                      restricting         : ['VBG']                            
effect-aware        : ['JJ']                             extent              : ['NN']                             
carbon              : ['NN']                             improve             : ['VB']                             
suggested           : ['VBD', 'VBN']                     climate             : ['NN']                             
readers             : ['NNS']                            merging             : ['VBZ']                            
logic               : ['NN']                             argue               : ['VBP']                            
adapted             : ['VBN']                            regarded            : ['VBD', 'VBN']                     
negotiation         : ['NN']                             behaviors           : ['NNS', 'JJ']                      
height              : ['NN']                             active              : ['JJ']                             
trust               : ['NN']                             speak               : ['VB']                             
flexibly            : ['RB']                             puts                : ['VBZ']                            
basis               : ['NN']                             three               : ['CD']                             
been                : ['VBN']                            quickly             : ['RB']                             
much                : ['JJ']                             interest            : ['NN']                             
basic               : ['JJ']                             expected            : ['VBN']                            
collections         : ['NNS']                            dynamically         : ['RB']                             
duties              : ['NNS']                            graphical           : ['JJ']                             
delnode             : ['NNP']                            light-weight        : ['JJ']                             
coherent            : ['JJ']                             cp3sme              : ['NNP', 'NN', 'VBZ', 'CD']         
mcs                 : ['NNP']                            mcp                 : ['NNS']                            
applied             : ['VBN']                            has                 : ['VBZ']                            
determining         : ['VBG']                            aim                 : ['NN']                             
rationally          : ['RB']                             sln                 : ['NNP', 'NN', 'VB']                
balance             : ['NN']                             precede             : ['JJ']                             
remembering         : ['VBG']                            have                : ['VBP', 'VB']                      
entity-relation     : ['JJ']                             is                  : ['VBZ']                            
machine-enabled     : ['JJ']                             it                  : ['PRP']                            
in                  : ['IN', 'RB']                       actuates            : ['VBZ']                            
interacts           : ['VBZ']                            if                  : ['IN']                             
specialization      : ['NN']                             perform             : ['VB']                             
things              : ['NNS']                            realizing           : ['VB']                             
clearly             : ['RB']                             body-centered       : ['NN']                             
complex             : ['JJ', 'VB', 'VBZ', 'NNS', 'NN']   harmony             : ['VBZ', 'NN']                      
evaluate            : ['VB']                             ispartof            : ['NN']                             
hierarchies         : ['NNS']                            several             : ['JJ']                             
meets               : ['VBZ']                            commonsense         : ['NNP', 'NN', 'JJ', 'VB']          
opportunity         : ['NN']                             thoughts            : ['NNS']                            
cycle               : ['NN']                             scenario            : ['NN']                             
programs            : ['NNS']                            stimuli             : ['NNS']                            
fusion              : ['NN']                             materials           : ['NNS']                            
simulated           : ['VBN']                            the                 : ['DT']                             
paradigm            : ['NN']                             unified             : ['JJ']                             
op1                 : ['NNP', 'NNS']                     op2                 : ['NNS', 'NNP']                     
op3                 : ['NNS', 'NNP']                     photo               : ['NN']                             
newton              : ['NNP']                            proposes            : ['VBZ']                            
transforms          : ['VBZ']                            human               : ['JJ', 'VBN', 'NN', 'NNP']         
32                  : ['CD']                             yet                 : ['CC']                             
previous            : ['JJ']                             adding              : ['VBG']                            
designers           : ['NNS']                            monitored           : ['VBN']                            
candidate           : ['NN']                             ease                : ['NN']                             
character           : ['NN']                             evidences           : ['NNS']                            
passive             : ['JJ']                             belongs             : ['VBZ']                            
transformed         : ['VBN']                            massively           : ['CD']                             
technological       : ['JJ']                             save                : ['VB']                             
gave                : ['VBD']                            which               : ['WDT', 'WP']                      
possible            : ['JJ']                             cultural            : ['JJ', 'NNP']                      
unification         : ['NN']                             background          : ['NN']                             
performance         : ['NN']                             clustered           : ['VBN']                            
shadow              : ['NN']                             depicts             : ['VBZ']                            
advanced            : ['VBN', 'JJ']                      harmoniously        : ['NN', 'RB']                       
59                  : ['CD']                             58                  : ['CD']                             
55                  : ['CD']                             54                  : ['CD']                             
57                  : ['CD']                             56                  : ['CD']                             
51                  : ['CD']                             zoom                : ['VB']                             
53                  : ['CD']                             52                  : ['CD']                             
specific            : ['JJ']                             offices             : ['NNS']                            
