f0005:

W_Fdic:
the                 : 1154    and                 : 822     of                  : 663     to                  : 448     
['http://www.research.ibm.com/cognitive-computing', 'NN']: 1       ['dimensions', 'JJ']               : 1       ['enrich', 'VBP']                  : 1       
['14', 'CD']                       : 1       ['benefit', 'VBP']                 : 1       ['learned', 'VBN']                 : 1       
['relativity', 'NN']               : 1       ['restricted', 'VBN']              : 1       ['habits', 'NNS']                  : 1       
['attributes', 'NNP']              : 1       ['summarizes', 'VBZ']              : 1       ['adopted', 'VBD']                 : 1       
['url-based', 'JJ']                : 1       ['aiming', 'VBG']                  : 1       ['rely', 'VB']                     : 1       
['misused', 'JJ']                  : 1       ['border', 'NN']                   : 1       ['co-evolve', 'VB']                : 1       
['communicating', 'VBG']           : 1       ['capturing', 'NNP']               : 1       ['crawled', 'VBD']                 : 1       
['axis', 'NNS']                    : 1       ['simulating', 'NNP']              : 1       ['conceptualizing', 'NN']          : 1       
['infallibly', 'RB']               : 1       ['ever', 'RB']                     : 1       ['isolated', 'VBD']                : 1       
['let', 'VB']                      : 1       ['life-cycle', 'JJ']               : 1       ['brings', 'VBZ']                  : 1       
['joined', 'VBN']                  : 1       ['conjectures', 'VBZ']             : 1       ['incur', 'VB']                    : 1       
['miss', 'VB']                     : 1       ['recent', 'JJ']                   : 1       ['clauset', 'NNP']                 : 1       
['interactive', 'NN']              : 1       ['costs', 'NNS']                   : 1       ['cartesian', 'JJ']                : 1       
['open-source', 'JJ']              : 1       ['reading', 'NNP']                 : 1       ['shaping', 'VBG']                 : 1       
['mathematics', 'NNS']             : 1       ['reflected', 'VBN']               : 1       ['fisher', 'NNP']                  : 1       
['improvement', 'NN']              : 1       ['mccallum', 'NNP']                : 1       ['adopting', 'VBG']                : 1       
['guarantee', 'VB']                : 1       ['depend', 'VB']                   : 1       ['falsifiability', 'JJ']           : 1       
['physics', 'NN']                  : 1       ['retail', 'JJ']                   : 1       ['achievements', 'NNS']            : 1       
['hierarchies', 'NNS']             : 1       ['paid', 'VBN']                    : 1       ['marketing', 'VBG']               : 1       
['cloud', 'JJ']                    : 1       ['obtaining', 'JJ']                : 1       ['philosophy', 'NN']               : 1       
['opportunity', 'NNP']             : 1       ['upper', 'JJ']                    : 1       ['recognized', 'VBN']              : 1       
['map', 'VBP']                     : 1       ['mediates', 'VBZ']                : 1       ['k.j.holyoak', 'NNP']             : 1       
['five', 'CD']                     : 1       ['experience', 'VB']               : 1       ['binary', 'JJ']                   : 1       
['differences', 'NNP']             : 1       ['believe', 'VBP']                 : 1       ['statement', 'NN']                : 1       
['in', 'RP']                       : 1       ['ontology', 'NN']                 : 1       ['roy', 'NNP']                     : 1       
['interaction', 'NNP']             : 1       ['interaction', 'VBP']             : 1       ['drive', 'VBP']                   : 1       
['+2', 'CD']                       : 1       ['learn', 'VBP']                   : 1       ['originated', 'VBN']              : 1       
['practitioners', 'NNS']           : 1       ['dispersed', 'JJ']                : 1       ['topic', 'VB']                    : 1       
['collect', 'VB']                  : 1       ['proposals', 'NNS']               : 1       ['justifying', 'VBG']              : 1       
['2004', 'CD']                     : 1       ['analyzer', 'NN']                 : 1       ['run', 'VBN']                     : 1       
['salary', 'NN']                   : 1       ['emerging', 'VB']                 : 1       ['grows', 'VBZ']                   : 1       
['aspects', 'JJ']                  : 1       ['limits', 'VBZ']                  : 1       ['inferring', 'VBG']               : 1       
['citation', 'NNS']                : 1       ['http://www.google.org/flutrends/', 'NNP']: 1       ['realistic', 'JJ']                : 1       
['fact', 'NN']                     : 1       ['cite', 'VB']                     : 1       ['architecture', 'VBZ']            : 1       
['hyperlinks', 'NNS']              : 1       ['intentions', 'NNS']              : 1       ['set', 'VBN']                     : 1       
['hubble', 'NNP']                  : 1       ['non-action-centered', 'JJ']      : 1       ['reliability', 'NN']              : 1       
['experimental', 'JJ']             : 1       ['geometric', 'JJ']                : 1       ['about', 'RB']                    : 1       
['john', 'NNP']                    : 1       ['synthesizing', 'VBG']            : 1       ['brought', 'VBD']                 : 1       
['summarization', 'NNS']           : 1       ['described', 'VBD']               : 1       ['collect', 'NN']                  : 1       
['encapsulated', 'VBN']            : 1       ['priori', 'JJ']                   : 1       ['http://www.ibm.com/cloud-computing/bluemix/', 'NNP']: 1       
['parts', 'NNS']                   : 1       ['modern', 'NNP']                  : 1       ['deciding', 'VBG']                : 1       
['url', 'NNS']                     : 1       ['judgment', 'NN']                 : 1       ['fmri', 'NNS']                    : 1       
['referring', 'VBG']               : 1       ['coordinates', 'NNP']             : 1       ['phenomenon', 'NN']               : 1       
['report', 'NN']                   : 1       ['promotes', 'VBZ']                : 1       ['researches', 'NN']               : 1       
['efficiently', 'NNS']             : 1       ['lifecycle', 'NN']                : 1       ['investments', 'NNS']             : 1       
['cues', 'NNS']                    : 1       ['literature', 'NN']               : 1       ['paragraph', 'NN']                : 1       
['keqiang', 'NNP']                 : 1       ['complementing', 'VBG']           : 1       ['spent', 'VBD']                   : 1       
['correctness', 'JJ']              : 1       ['sixty', 'JJ']                    : 1       ['human-computer', 'VBZ']          : 1       
['copernicus', 'NNP']              : 1       ['simulate', 'JJ']                 : 1       ['stronger', 'JJR']                : 1       
['m.', 'NNP']                      : 1       ['indexing', 'VBG']                : 1       ['foundation', 'NN']               : 1       
['man-machine', 'JJ']              : 1       ['increment', 'NN']                : 1       ['electricity', 'NN']              : 1       
['unfamiliar', 'JJ']               : 1       ['tax', 'NN']                      : 1       ['geometry', 'VBN']                : 1       
['knowledge', 'VB']                : 1       ['marcus', 'NNP']                  : 1       ['4.0', 'VBG']                     : 1       
['mismatching', 'NN']              : 1       ['harmonious', 'JJ']               : 1       ['conferences', 'NNS']             : 1       
['activity', 'NN']                 : 1       ['computable', 'NN']               : 1       ['ecology', 'NN']                  : 1       
['sparql', 'JJ']                   : 1       ['composition', 'NN']              : 1       ['videos', 'FW']                   : 1       
['reinvention', 'NN']              : 1       ['institute', 'NNP']               : 1       ['machine-data', 'JJ']             : 1       
['significance', 'NN']             : 1       ['smoot', 'NNP']                   : 1       ['user-friendly', 'JJ']            : 1       
['irrelevant', 'JJ']               : 1       ['forward', 'RP']                  : 1       ['public', 'JJ']                   : 1       
['maximize', 'VB']                 : 1       ['acquiring', 'JJ']                : 1       ['rejecting', 'VBG']               : 1       
['join', 'VB']                     : 1       ['day', 'NN']                      : 1       ['enhancing', 'VBG']               : 1       
['sale', 'NN']                     : 1       [',1969', 'CD']                    : 1       ['simple', 'NN']                   : 1       
['simulates', 'VBZ']               : 1       ['insight', 'JJ']                  : 1       ['rest', 'NN']                     : 1       
['synthesizing', 'JJ']             : 1       ['algebra', 'NN']                  : 1       ['carrying', 'VBG']                : 1       
['unrepresented', 'JJ']            : 1       ['induction', 'NN']                : 1       ['driving', 'VBG']                 : 1       
['allenby', 'NNP']                 : 1       ['experiments', 'NNS']             : 1       ['fool', 'NN']                     : 1       
['us', 'PRP']                      : 1       ['knowledge', 'RB']                : 1       ['abstractions', 'JJ']             : 1       
['interesting', 'JJ']              : 1       ['investigating', 'VBG']           : 1       ['transfers', 'VBZ']               : 1       
['simplifications', 'NNS']         : 1       ['projects', 'VBZ']                : 1       ['initiatives', 'NNS']             : 1       
['updated', 'VBN']                 : 1       ['services', 'VBZ']                : 1       ['coauthor', 'NN']                 : 1       
['reported', 'VBD']                : 1       ['flu', 'NNP']                     : 1       ['born', 'VBN']                    : 1       
['unreasonable', 'JJ']             : 1       ['1985', 'CD']                     : 1       ['chief', 'JJ']                    : 1       
['picture', 'VBZ']                 : 1       ['feedback', 'NN']                 : 1       ['n2', 'NNP']                      : 1       
['albert', 'NNP']                  : 1       ['bio-inspired', 'JJ']             : 1       ['rapidly', 'RB']                  : 1       
['trained', 'VBN']                 : 1       ['meta-model', 'VBZ']              : 1       ['hybrid', 'NN']                   : 1       
['again', 'RB']                    : 1       ['isolated', 'VBN']                : 1       ['liben-nowell', 'NNP']            : 1       
['administration', 'NN']           : 1       ['knowledge-intensive', 'JJ']      : 1       ['countries', 'NNS']               : 1       
['16', 'CD']                       : 1       ['behaviours', 'NNS']              : 1       ['reviewers', 'NNS']               : 1       
['officers', 'NNS']                : 1       ['usage', 'VBP']                   : 1       ['continuous', 'JJ']               : 1       
['modeling', 'JJ']                 : 1       ['1986', 'CD']                     : 1       ['n1', 'NNP']                      : 1       
['ordinary', 'JJ']                 : 1       ['cognition', 'NNP']               : 1       ['suppliers', 'NNS']               : 1       
['posteriori', 'JJ']               : 1       ['invokes', 'VBZ']                 : 1       ['obvious', 'JJ']                  : 1       
['vast', 'JJ']                     : 1       ['experienced', 'VBD']             : 1       ['telescope', 'NNP']               : 1       
['limited', 'JJ']                  : 1       ['laureate', 'NN']                 : 1       ['decline', 'VB']                  : 1       
['via', 'IN']                      : 1       ['2009', 'VBZ']                    : 1       ['mismatch', 'NN']                 : 1       
['multi-disciplinary', 'NN']       : 1       ['operated', 'VBN']                : 1       ['explored', 'VBN']                : 1       
['reliable', 'JJ']                 : 1       ['indirectly', 'RB']               : 1       ['www.w3.org/rdf/', 'NNP']         : 1       
['prolonging', 'VBG']              : 1       ['enabling', 'VB']                 : 1       ['indexed', 'VBN']                 : 1       
['commenting', 'NN']               : 1       ['conjectures', 'NNS']             : 1       ['commonsenses', 'JJ']             : 1       
['reforms', 'NNS']                 : 1       ['converged', 'JJ']                : 1       ['1921', 'CD']                     : 1       
['guide', 'NN']                    : 1       ['microscopic', 'JJ']              : 1       ['meta-computing', 'JJ']           : 1       
['education', 'NN']                : 1       ['regardless', 'RB']               : 1       ['biggest', 'JJS']                 : 1       
['anderson', 'NNP']                : 1       ['pursues', 'VBZ']                 : 1       ['inherit', 'VB']                  : 1       
['co-occurrence', 'JJ']            : 1       ['rules', 'NNPS']                  : 1       ['tool', 'NN']                     : 1       
['keep', 'VB']                     : 1       ['became', 'VBD']                  : 1       ['innovative', 'JJ']               : 1       
['collaborative', 'NNP']           : 1       ['provable', 'JJ']                 : 1       ['thinkers', 'NNS']                : 1       
['ratio', 'NN']                    : 1       ['missed', 'VBN']                  : 1       ['pictures', 'NNS']                : 1       
['tiger', 'CD']                    : 1       ['friendship', 'NN']               : 1       ['2003', 'CD']                     : 1       
['rationalizes', 'VBZ']            : 1       ['cancer', 'NNP']                  : 1       ['constitute', 'VB']               : 1       
['improving', 'VB']                : 1       ['scans', 'VBZ']                   : 1       ['minimizes', 'VBZ']               : 1       
['maintain', 'VBP']                : 1       ['crawled', 'JJ']                  : 1       ['centuries', 'NNS']               : 1       
['follows', 'VBZ']                 : 1       ['linkedin', 'NNP']                : 1       ['clancey', 'NNP']                 : 1       
['intelligent', 'NNP']             : 1       ['giving', 'VBG']                  : 1       ['solar', 'JJ']                    : 1       
['named', 'VBN']                   : 1       ['flexibility', 'NN']              : 1       ['broadband', 'JJ']                : 1       
['scalable', 'JJ']                 : 1       ['failure', 'NN']                  : 1       ['applied', 'VBN']                 : 1       
['reduces', 'VBZ']                 : 1       ['representational', 'JJ']         : 1       ['index', 'NN']                    : 1       
['influencing', 'VBG']             : 1       ['construct', 'VB']                : 1       ['highly', 'RB']                   : 1       
['optimize', 'VB']                 : 1       ['adjust', 'VB']                   : 1       ['cyber-social', 'JJ']             : 1       
['coordinate', 'JJ']               : 1       ['community', 'NNP']               : 1       ['stock', 'NN']                    : 1       
['answering', 'VBZ']               : 1       ['motivations', 'NNS']             : 1       ['exist', 'VB']                    : 1       
['leading', 'JJ']                  : 1       ['observatory', 'NN']              : 1       ['aim', 'VBP']                     : 1       
['agreed', 'JJ']                   : 1       ['questioned', 'VBN']              : 1       ['pursuing', 'VBG']                : 1       
['identifiable', 'JJ']             : 1       ['contribute', 'VB']               : 1       ['protocols', 'NNS']               : 1       
['expand', 'VB']                   : 1       ['r2', 'NNP']                      : 1       ['thinking', 'NNP']                : 1       
['connections', 'NNS']             : 1       ['localizing', 'VBG']              : 1       ['inspiring', 'NN']                : 1       
['outputting', 'VBG']              : 1       ['dhar', 'NNP']                    : 1       ['queried', 'VBN']                 : 1       
['model-driven', 'JJ']             : 1       ['explains', 'VBZ']                : 1       ['loosely', 'RB']                  : 1       
['aims', 'NNP']                    : 1       ['navigate', 'VB']                 : 1       ['grand', 'JJ']                    : 1       
['shifted', 'VBN']                 : 1       ['e.g.', 'JJ']                     : 1       ['revisited', 'VBN']               : 1       
['2nd', 'JJ']                      : 1       ['structured', 'JJ']               : 1       ['analytics', 'JJ']                : 1       
['continual', 'JJ']                : 1       ['concept-to-concept', 'VB']       : 1       ['acquisition', 'NN']              : 1       
['twitter', 'NNP']                 : 1       ['arising', 'VBG']                 : 1       ['synthesize', 'VBZ']              : 1       
['him', 'PRP']                     : 1       ['united', 'NNP']                  : 1       ['collections', 'NNS']             : 1       
['bluemix', 'NN']                  : 1       ['pathways', 'NNS']                : 1       ['collaborative', 'JJ']            : 1       
['node', 'VB']                     : 1       ['lie', 'VB']                      : 1       ['reserve', 'NN']                  : 1       
['r1', 'NNP']                      : 1       ['gruber', 'NNP']                  : 1       ['conduct', 'VB']                  : 1       
['self-organization', 'NN']        : 1       ['2001', 'VBZ']                    : 1       ['timely', 'JJ']                   : 1       
['design', 'VB']                   : 1       ['reader', 'NN']                   : 1       ['exact', 'JJ']                    : 1       
['takes', 'VBZ']                   : 1       ['algorithms', 'JJ']               : 1       ['persistent', 'JJ']               : 1       
['reaches', 'VBZ']                 : 1       ['advantage', 'NN']                : 1       ['sensation', 'NN']                : 1       
['open', 'VB']                     : 1       ['sufficiently', 'RB']             : 1       ['symbiosis', 'VBZ']               : 1       
['transferring', 'VBG']            : 1       ['richer', 'JJR']                  : 1       ['prusak', 'NNP']                  : 1       
['shift', 'VB']                    : 1       ['church', 'NNP']                  : 1       ['simulator', 'NN']                : 1       
['underlying', 'VBG']              : 1       ['everyday', 'NN']                 : 1       ['distance', 'NN']                 : 1       
['become', 'VB']                   : 1       ['green', 'JJ']                    : 1       ['allows', 'VBZ']                  : 1       
['question-answering', 'NN']       : 1       ['rank', 'NN']                     : 1       ['proving', 'VBG']                 : 1       
['incompleteness', 'NNS']          : 1       ['addresses', 'NNS']               : 1       ['report', 'NNP']                  : 1       
['fully', 'RB']                    : 1       ['graedel', 'NNP']                 : 1       ['preventing', 'VBG']              : 1       
['propagate', 'VB']                : 1       ['curiosity', 'NN']                : 1       ['meaningless', 'JJ']              : 1       
['goal-oriented', 'VBN']           : 1       ['spheres', 'NNS']                 : 1       ['reasonable', 'JJ']               : 1       
['compensate', 'VB']               : 1       ['1983', 'CD']                     : 1       ['nights', 'NNS']                  : 1       
['computing.evolution', 'NN']      : 1       ['maintaining', 'VBG']             : 1       ['abnormal', 'JJ']                 : 1       
['regard', 'NN']                   : 1       ['kinds', 'NNS']                   : 1       ['suggested', 'VBD']               : 1       
['gravitation', 'NN']              : 1       ['semi-autonomous', 'NNS']         : 1       ['r&d', 'NNP']                     : 1       
['vector', 'NN']                   : 1       ['behaving', 'VBG']                : 1       ['distribution', 'NNS']            : 1       
['recognizing', 'VBG']             : 1       ['clearly', 'RB']                  : 1       ['13', 'CD']                       : 1       
['housing', 'NN']                  : 1       ['assessing', 'VBG']               : 1       ['reach', 'VB']                    : 1       
['perform', 'VB']                  : 1       ['jim', 'NNP']                     : 1       ['davenport', 'NNP']               : 1       
['methodologies', 'NNS']           : 1       ['spiral', 'NN']                   : 1       ['plentiful', 'JJ']                : 1       
['corresponding', 'JJ']            : 1       ['domestic', 'JJ']                 : 1       ['url', 'VBG']                     : 1       
['query', 'NNP']                   : 1       ['correctness', 'NN']              : 1       ['all', 'RB']                      : 1       
['interactive', 'NNP']             : 1       ['kosko', 'NNP']                   : 1       ['industry-leading', 'JJ']         : 1       
['fine', 'JJ']                     : 1       ['separating', 'VBG']              : 1       ['trends', 'NNP']                  : 1       
['channels', 'NNS']                : 1       ['statistician', 'NNP']            : 1       ['service-oriented', 'JJ']         : 1       
['test', 'VB']                     : 1       ['roland', 'NNP']                  : 1       ['leadership', 'NNP']              : 1       
['one', 'PRP']                     : 1       ['misled', 'VBN']                  : 1       ['human-to-human', 'NN']           : 1       
['linear', 'NNP']                  : 1       ['epistemology', 'NN']             : 1       ['condition-action', 'JJ']         : 1       
['fix', 'JJ']                      : 1       ['identified', 'VBN']              : 1       ['correlational', 'JJ']            : 1       
['queries', 'NNS']                 : 1       ['first', 'NNP']                   : 1       ['indexing', 'NN']                 : 1       
['modelings', 'NNS']               : 1       ['undecidable', 'JJ']              : 1       ['designing', 'VBG']               : 1       
['motivations', 'VBZ']             : 1       ['mislead', 'VB']                  : 1       ['imagination', 'NN']              : 1       
['associates', 'VBZ']              : 1       ['gartner', 'NNP']                 : 1       ['neglect', 'VBZ']                 : 1       
['workloads', 'NNS']               : 1       ['reasoning', 'VBG']               : 1       ['benefits', 'NNS']                : 1       
['converging', 'VBG']              : 1       ['reciprocal', 'JJ']               : 1       ['generating', 'NNP']              : 1       
['tactical', 'JJ']                 : 1       ['request', 'NN']                  : 1       ['page', 'VB']                     : 1       
['arouses', 'VBZ']                 : 1       ['planned', 'VBN']                 : 1       ['optimized', 'VBN']               : 1       
['mathematic', 'JJ']               : 1       ['memex', 'NNP']                   : 1       ['propositions', 'MD']             : 1       
['viewed', 'VBN']                  : 1       ['maturity', 'NN']                 : 1       ['subsystems', 'NNS']              : 1       
['beauty', 'NN']                   : 1       ['description', 'NN']              : 1       ['hyperlink', 'NN']                : 1       
['library', 'NN']                  : 1       ['orbits', 'NNS']                  : 1       ['prior', 'JJ']                    : 1       
['streams', 'NN']                  : 1       ['detect', 'VBD']                  : 1       ['profound', 'JJ']                 : 1       
['refinement', 'NN']               : 1       ['uniform', 'NNP']                 : 1       ['coherence', 'NN']                : 1       
['order', 'NN']                    : 1       ['heliocentric', 'JJ']             : 1       ['public', 'NNP']                  : 1       
['like', 'VBP']                    : 1       ['petabytes', 'NNS']               : 1       ['rules', 'VBZ']                   : 1       
['philosophical', 'JJ']            : 1       ['inevitably', 'RB']               : 1       ['problem-oriented', 'JJ']         : 1       
['wisdom', 'NN']                   : 1       ['commonsense', 'NN']              : 1       ['scales', 'NNPS']                 : 1       
['recommending', 'VBG']            : 1       ['conveniently', 'VB']             : 1       ["n't", 'RB']                      : 1       
['normalization', 'NNP']           : 1       ['coalition', 'NNP']               : 1       ['matching', 'NN']                 : 1       
['human-to-machine', 'NN']         : 1       ['problem-solving', 'NNP']         : 1       ['capture', 'NN']                  : 1       
['guides', 'VBZ']                  : 1       ['sequential', 'NNP']              : 1       ['weight', 'NN']                   : 1       
['salton', 'NNP']                  : 1       ['early', 'JJ']                    : 1       ['axiomatic', 'JJ']                : 1       
['common-purpose', 'JJ']           : 1       ['changing', 'JJ']                 : 1       ['separates', 'VBZ']               : 1       
['measurable', 'JJ']               : 1       ['eventually', 'RB']               : 1       ['component', 'NN']                : 1       
['before', 'RB']                   : 1       ['methodology', 'NNS']             : 1       ['ensures', 'VBZ']                 : 1       
['deploying', 'VBG']               : 1       ['deductive', 'JJ']                : 1       ['ideal', 'JJ']                    : 1       
['expensive', 'JJ']                : 1       ['extensible', 'NNP']              : 1       ['meta-cognition', 'NN']           : 1       
['action-centered', 'JJ']          : 1       ['interests', 'NNS']               : 1       ['schema', 'NN']                   : 1       
['such', 'PDT']                    : 1       ['1978', 'CD']                     : 1       ['noisy', 'NN']                    : 1       
['http://www.imscenter.net', 'NN'] : 1       ['goal', 'VB']                     : 1       ['keeping', 'VBG']                 : 1       
['starts', 'VBZ']                  : 1       ['write', 'VBP']                   : 1       ['standard', 'JJ']                 : 1       
['varies', 'VBZ']                  : 1       ['derivation', 'NN']               : 1       ['usa', 'NNP']                     : 1       
['absorbs', 'VBZ']                 : 1       ['1994', 'VBZ']                    : 1       ['depending', 'VBG']               : 1       
['ecologists', 'NNS']              : 1       ['graph', 'NN']                    : 1       ['multi-disciplinary', 'JJ']       : 1       
['in-depth', 'JJ']                 : 1       ['sees', 'VBZ']                    : 1       ['integrates', 'VBZ']              : 1       
['1948', 'CD']                     : 1       ['symbolic', 'JJ']                 : 1       ['steam', 'NN']                    : 1       
['stability', 'NN']                : 1       ['makers', 'NNS']                  : 1       ['answering', 'VBG']               : 1       
['frequency', 'NN']                : 1       ['further', 'JJ']                  : 1       ['greater', 'JJR']                 : 1       
['summary', 'NN']                  : 1       ['inaccurate', 'JJ']               : 1       ['satisfy', 'VB']                  : 1       
['markup', 'NNP']                  : 1       ['coming', 'VBG']                  : 1       ['huge', 'JJ']                     : 1       
['brynjolfsson', 'VB']             : 1       ['cause-effect', 'NN']             : 1       ['divide', 'VBP']                  : 1       
['explores', 'VBZ']                : 1       ['contribution', 'NN']             : 1       ['representation', 'JJ']           : 1       
['facets', 'NNS']                  : 1       ['sustainable', 'NNP']             : 1       ['motivation', 'NNS']              : 1       
['human-to-data', 'NN']            : 1       ['refer', 'VBP']                   : 1       ['answers', 'VBZ']                 : 1       
['observers', 'NNS']               : 1       ['hears', 'VBZ']                   : 1       ['place', 'NN']                    : 1       
['inmon', 'NNP']                   : 1       ['cyber-infrastructures', 'NNS']   : 1       ['e.g.', 'VBN']                    : 1       
['clues', 'NNS']                   : 1       ['viewing', 'VBG']                 : 1       ['commonsense', 'JJ']              : 1       
['behavior-centered', 'JJ']        : 1       ['gick', 'NNP']                    : 1       ['real-time', 'NNP']               : 1       
['intelligently', 'RB']            : 1       ['holding', 'VBG']                 : 1       ['differentiation', 'NN']          : 1       
['exploring', 'NNP']               : 1       ['unveiling', 'VBG']               : 1       ['investigated', 'VBN']            : 1       
['find', 'VBP']                    : 1       ['symbiosis', 'JJ']                : 1       ['considering', 'VBG']             : 1       
['challenged', 'VBD']              : 1       ['overload', 'NN']                 : 1       ['bankruptcies', 'NNS']            : 1       
['1961', 'CD']                     : 1       ['directory', 'NNP']               : 1       ['machine-to-machine', 'NN']       : 1       
['codd', 'NNP']                    : 1       ['massively', 'RB']                : 1       ['accident', 'NN']                 : 1       
['provably', 'RB']                 : 1       ['unsupervised', 'JJ']             : 1       ['network', 'NNP']                 : 1       
['homomorphism', 'NN']             : 1       ['penetration', 'NN']              : 1       ['artificial', 'NN']               : 1       
['kuhn', 'NNP']                    : 1       ['resolve', 'VB']                  : 1       ['offer', 'VBP']                   : 1       
['thought', 'NN']                  : 1       ['practice', 'NNP']                : 1       ['management', 'NNP']              : 1       
['old', 'JJ']                      : 1       ['lengths', 'NNS']                 : 1       ['static', 'JJ']                   : 1       
['force', 'VBP']                   : 1       ['2000', 'CD']                     : 1       ['worldview', 'NNP']               : 1       
['high', 'JJ']                     : 1       ['first', 'RB']                    : 1       ['remembers', 'VBZ']               : 1       
['heavily', 'RB']                  : 1       ['and', 'VB']                      : 1       ['forecast', 'VB']                 : 1       
['prognostics', 'NNS']             : 1       ['externalizes', 'VBZ']            : 1       ['relied', 'VBN']                  : 1       
['magnetic', 'NNP']                : 1       ['1976', 'CD']                     : 1       ['reorganized', 'VBN']             : 1       
['low', 'JJ']                      : 1       ['halt', 'VB']                     : 1       ['bio-symbiosis', 'JJ']            : 1       
['incorporating', 'NNP']           : 1       ['efficiently', 'VB']              : 1       ['delivering', 'VBG']              : 1       
['inventing', 'JJ']                : 1       ['competitors', 'NNS']             : 1       ['newtonian', 'NNP']               : 1       
['neither', 'CC']                  : 1       ['up-to-date', 'JJ']               : 1       ['dealing', 'VBG']                 : 1       
['analogies', 'NNS']               : 1       ['keeps', 'VBZ']                   : 1       ['actions', 'NNS']                 : 1       
['mass', 'JJ']                     : 1       ['representations', 'NNP']         : 1       ['1975', 'CD']                     : 1       
['finding', 'NN']                  : 1       ['factor', 'NN']                   : 1       ['cycles', 'NNS']                  : 1       
['millions', 'NNS']                : 1       ['dataflow', 'JJ']                 : 1       ['portfolio', 'NN']                : 1       
['lagging', 'VBG']                 : 1       ['odp', 'NNP']                     : 1       ['mostly', 'RB']                   : 1       
['play', 'VBP']                    : 1       ['e.g.', 'NN']                     : 1       ['szalay', 'JJ']                   : 1       
['attributed', 'VBN']              : 1       ['beer', 'NN']                     : 1       ['www.w3.org/tr/owl-features/', 'JJ']: 1       
['flexibly', 'RB']                 : 1       ['posteriori', 'NNS']              : 1       ['lead', 'VBP']                    : 1       
['discoveries', 'NNS']             : 1       ['unemployment', 'NN']             : 1       ['shortcoming', 'NN']              : 1       
['simulate', 'VB']                 : 1       ['precious', 'JJ']                 : 1       ['structuring', 'NNP']             : 1       
['commenting', 'NNP']              : 1       ['xml', 'NNP']                     : 1       ['revolutions', 'NNS']             : 1       
['focus', 'VBP']                   : 1       ['1937', 'CD']                     : 1       ['everything', 'NN']               : 1       
['cooperative', 'JJ']              : 1       ['argument', 'NN']                 : 1       ['speed', 'VB']                    : 1       
['naturally', 'RB']                : 1       ['locality', 'JJ']                 : 1       ['transformational', 'JJ']         : 1       
['wolf', 'NNP']                    : 1       ['minsky', 'NNP']                  : 1       ['unsuitable', 'VB']               : 1       
['concept-space', 'NNP']           : 1       ['national', 'NNP']                : 1       ['act', 'VB']                      : 1       
['read', 'VBP']                    : 1       ['dennis', 'NNP']                  : 1       ['observational', 'JJ']            : 1       
['conjecture', 'NNP']              : 1       ['benefit', 'VB']                  : 1       ['speech', 'NN']                   : 1       
['implications', 'NNS']            : 1       ['separating', 'NNP']              : 1       ['questionable', 'JJ']             : 1       
['origins', 'NNS']                 : 1       ['indexing', 'VBZ']                : 1       ['essential', 'JJ']                : 1       
['goldbach', 'NNP']                : 1       ['map', 'VB']                      : 1       ['upgrade', 'VB']                  : 1       
['suggest', 'VBP']                 : 1       ['item', 'NN']                     : 1       ['emerged', 'VBN']                 : 1       
['priori', 'VBG']                  : 1       ['yahoo', 'NNP']                   : 1       ['formally', 'RB']                 : 1       
['underlying', 'RB']               : 1       ['visualization', 'NNP']           : 1       ['objects', 'NNP']                 : 1       
['classifications', 'NNS']         : 1       ['thoughts', 'NNS']                : 1       ['stores', 'NNS']                  : 1       
['higher-level', 'JJ']             : 1       ['co-evolves', 'VBZ']              : 1       ['enumerate', 'VB']                : 1       
['molecular', 'JJ']                : 1       ['located', 'VBN']                 : 1       ['semantic', 'NNP']                : 1       
['linking', 'CD']                  : 1       ['know', 'VBP']                    : 1       ['causation', 'NN']                : 1       
['explorations', 'NNS']            : 1       ['anything', 'NN']                 : 1       ['data-driven', 'JJ']              : 1       
['lenzerini', 'NNP']               : 1       ['initiative', 'NN']               : 1       ['split', 'NN']                    : 1       
['continuously', 'RB']             : 1       ['address', 'NN']                  : 1       ['transmitted', 'VBN']             : 1       
['manage', 'VBP']                  : 1       ['collect', 'JJ']                  : 1       ['productivity', 'NN']             : 1       
['verify', 'JJ']                   : 1       ['human-to-nature', 'NN']          : 1       ['use-cases', 'NNS']               : 1       
['advance', 'VB']                  : 1       ['risks', 'VBZ']                   : 1       ['draft', 'NNP']                   : 1       
['1989', 'NNP']                    : 1       ['impossibility', 'NN']            : 1       ['system-to-system', 'JJ']         : 1       
['diagnosis', 'NN']                : 1       ['shortening', 'VBG']              : 1       ['incorporate', 'VB']              : 1       
['internet-of', 'NNP']             : 1       ['cooperate', 'VB']                : 1       ['frontier', 'NN']                 : 1       
['managing', 'NNP']                : 1       ['fodor', 'NNP']                   : 1       ['developers', 'NNS']              : 1       
['thought', 'VBD']                 : 1       ['pushing', 'VBG']                 : 1       ['perspectives', 'NNS']            : 1       
['arithmetic', 'NN']               : 1       ['12', 'CD']                       : 1       ['einstein', 'NNP']                : 1       
['attracted', 'VBD']               : 1       ['longer', 'RBR']                  : 1       ['perform', 'VBP']                 : 1       
['forget', 'JJ']                   : 1       ['preserved', 'VBN']               : 1       ['landscape', 'NN']                : 1       
['forums', 'NNS']                  : 1       ['documents', 'NNS']               : 1       ['published', 'VBN']               : 1       
